,0,1
2,6.8,159.0
3,7.1,161.0
5,5.7,2149.0
6,6.6,240.0
8,7.5,18.0
9,7.3,13.0
11,8.2,17197.0
12,7.8,16337.0
13,8.5,22673.0
14,8.0,10210.0
15,8.0,4390.0
16,7.9,1394.0
17,5.8,209.0
18,7.5,8933.0
19,8.2,2044.0
20,5.8,368.0
21,7.3,80.0
22,7.8,17386.0
24,8.0,14593.0
25,6.6,2290.0
26,6.9,63.0
28,8.3,6501.0
33,7.9,3397.0
35,7.0,6739.0
38,8.1,12254.0
55,7.6,2007.0
58,7.3,13381.0
59,7.2,2514.0
62,8.1,9328.0
63,7.6,6851.0
64,7.6,992.0
65,7.1,5873.0
66,6.6,812.0
67,7.0,188.0
68,7.7,2652.0
69,7.5,2316.0
70,8.0,7932.0
71,7.6,3201.0
73,8.4,9547.0
74,6.5,6853.0
75,6.4,4478.0
76,8.0,3154.0
77,8.2,12224.0
78,7.9,11423.0
79,7.5,1769.0
80,7.8,2634.0
81,7.9,2666.0
82,5.9,1371.0
83,5.5,867.0
85,7.9,10061.0
87,7.3,7389.0
88,7.4,5104.0
89,7.8,8124.0
90,7.2,3186.0
91,7.1,109.0
92,7.0,15.0
93,7.9,711.0
94,8.5,2.0
95,6.8,6571.0
96,6.4,1865.0
97,6.7,1742.0
98,8.2,15084.0
99,7.7,1446.0
100,8.2,5410.0
101,8.3,12058.0
102,6.9,74.0
103,8.2,9336.0
104,7.3,1718.0
105,8.3,16501.0
106,7.5,6134.0
107,7.8,7326.0
108,7.7,1243.0
109,7.5,855.0
110,8.0,1006.0
111,8.2,9240.0
112,6.4,98.0
113,7.8,810.0
114,7.4,6378.0
115,7.8,9282.0
116,7.3,3404.0
117,7.8,4572.0
118,7.0,12526.0
120,8.4,20905.0
121,8.4,18094.0
122,8.5,19497.0
123,6.6,645.0
125,5.9,16.0
126,6.8,5.0
127,7.6,136.0
128,8.3,6258.0
129,8.5,12792.0
132,7.4,130.0
133,6.5,25.0
134,7.3,3304.0
135,7.5,113.0
136,7.8,882.0
